Date,Open*,High,Low,Close**,Volume,Market Cap
05-11-17,"7,404.52","7,617.48","7,333.19","7,407.41",2380410000.00,123388000000.00
04-11-17,"7,164.48","7,492.86","7,031.28","7,379.95",2483800000.00,119376000000.00
03-11-17,"7,087.53","7,461.29","7,002.94","7,207.76",3369860000.00,118084000000.00
02-11-17,"6,777.77","7,367.33","6,758.72","7,078.50",4653770000.00,112910000000.00
01-11-17,"6,440.97","6,767.31","6,377.88","6,767.31",2870320000.00,107287000000.00
31-10-17,"6,132.02","6,470.43","6,103.33","6,468.40",2311380000.00,102130000000.00
30-10-17,"6,114.85","6,214.99","6,040.85","6,130.53",1772150000.00,101833000000.00
29-10-17,"5,754.44","6,255.71","5,724.58","6,153.85",2859040000.00,95819800000.00
28-10-17,"5,787.82","5,876.72","5,689.19","5,753.09",1403920000.00,96369600000.00
27-10-17,"5,899.74","5,988.39","5,728.82","5,780.90",1710130000.00,98225400000.00
26-10-17,"5,747.95","5,976.80","5,721.22","5,904.83",1905040000.00,95685100000.00
25-10-17,"5,524.60","5,754.33","5,397.88","5,750.80",1966990000.00,91954200000.00
24-10-17,"5,935.52","5,935.52","5,504.18","5,526.64",2735700000.00,98781600000.00
23-10-17,"6,006.00","6,075.59","5,732.47","5,930.32",2401840000.00,99941600000.00
22-10-17,"6,036.66","6,076.26","5,792.34","6,008.42",2034630000.00,100438000000.00
21-10-17,"5,996.79","6,194.88","5,965.07","6,031.60",2207100000.00,99763200000.00
20-10-17,"5,708.11","6,060.11","5,627.23","6,011.45",2354430000.00,94947900000.00
19-10-17,"5,583.74","5,744.35","5,531.06","5,708.52",1780540000.00,92867000000.00
18-10-17,"5,603.82","5,603.82","5,151.44","5,590.69",2399270000.00,93190200000.00
17-10-17,"5,741.58","5,800.35","5,472.72","5,605.51",1821570000.00,95469300000.00
16-10-17,"5,687.57","5,776.23","5,544.21","5,725.59",2008070000.00,94559000000.00
15-10-17,"5,835.96","5,852.48","5,478.61","5,678.19",1976040000.00,97011900000.00
14-10-17,"5,643.53","5,837.70","5,591.64","5,831.79",1669030000.00,93803000000.00
